original_title,combined_features,title
"Science of Sleep, The (La science des rêves) (2006)",comedy drama fantasy romance year2006,scienceofsleepthelasciencedesrves
Green Snake (1993),action fantasy romance scifi year1993,greensnake
S. Darko (S. Darko: A Donnie Darko Tale) (2009),crime mystery scifi thriller year2009,sdarkosdarkoadonniedarkotale
Remo Williams: The Adventure Begins (1985),action comedy crime thriller year1985,remowilliamstheadventurebegins
Vares: Private Eye (Vares - Yksityisetsivä) (2004),action comedy crime thriller year2004,varesprivateeyevaresyksityisetsiv
Tinker Bell and the Legend of the NeverBeast (2014),adventure animation children year2014,tinkerbellandthelegendoftheneverbeast
Yuva (2004),action adventure crime drama year2004,yuva
Zombie Hunter (2013),action comedy scifi thriller year2013,zombiehunter
Dangerous Flowers (2006),action comedy drama thriller year2006,dangerousflowers
Ricochet (2011),crime drama mystery thriller year2011,ricochet
On the Trail of the Bremen Town Musicians (1973),adventure animation children year1973,onthetrailofthebrementownmusicians
Return to Paradise (1998),crime drama romance thriller year1998,returntoparadise
The Butterfly Effect 3: Revelations (2009),drama fantasy scifi thriller year2009,thebutterflyeffect3revelations
The King's Beard (2002),adventure animation children year2002,thekingsbeard
Letters from a Killer (1998),crime drama mystery thriller year1998,lettersfromakiller
Moon (2009),drama mystery scifi thriller year2009,moon
Coco (2017),adventure animation children year2017,coco
Hum Tum (2004),comedy drama musical romance year2004,humtum
Perry Mason Returns (1985),crime drama mystery thriller year1985,perrymasonreturns
Midnight Run (1988),action comedy crime thriller year1988,midnightrun
A Chinese Ghost Story III (1991),action comedy fantasy horror year1991,achineseghoststoryiii
Caótica Ana (2007),comedy drama mystery romance year2007,caticaana
Filth and Wisdom (2008),comedy drama musical romance year2008,filthandwisdom
Essex Boys: Law of Survival (2015),action adventure crime drama year2015,essexboyslawofsurvival
TiMER (2009),comedy drama fantasy romance year2009,timer
The Mermaid (2016),comedy fantasy romance scifi year2016,themermaid
The Whirl (2012),action drama fantasy mystery year2012,thewhirl
Patsy (2008),comedy drama mystery romance year2008,patsy
"Fisher King, The (1991)",comedy drama fantasy romance year1991,thefisherking
Chicken with Vinegar (1985),comedy crime mystery romance year1985,chickenwithvinegar
Hollywoodland (2006),crime drama mystery thriller year2006,hollywoodland
Remains (2011),action drama horror thriller year2011,remains
Kill Your Darlings (2013),crime drama romance thriller year2013,killyourdarlings
"Sex, Lies and Death (2011)",crime drama romance thriller year2011,sexliesanddeath
The Day of the Triffids (2009),action horror scifi thriller year2009,thedayofthetriffids
Moving Target (1988),crime drama romance thriller year1988,movingtarget
Lizzie Borden Took an Ax (2014),crime drama mystery thriller year2014,lizziebordentookanax
"Last Legion, The (2007)",action adventure fantasy war year2007,thelastlegion
Rush Hour 3 (2007),action comedy crime thriller year2007,rushhour3
Death Sentence (1974),crime drama mystery thriller year1974,deathsentence
Sars Wars: Bangkok Zombie Crisis (2004),action comedy fantasy horror year2004,sarswarsbangkokzombiecrisis
Bajo la rosa (2017),crime drama mystery thriller year2017,bajolarosa
Michael (1996),comedy drama fantasy romance year1996,michael
Embryo (1976),action horror scifi thriller year1976,embryo
Balto (1995),adventure animation children year1995,balto
"Cabin in the Woods, The (2012)",comedy horror scifi thriller year2012,thecabininthewoods
"Crossing Guard, The (1995)",action crime drama thriller year1995,thecrossingguard
Walking Tall: Lone Justice (2007),action crime drama thriller year2007,walkingtalllonejustice
Godspeed (2016),comedy crime drama thriller year2016,godspeed
Sökarna (1993),action crime drama thriller year1993,skarna
Clear and Present Danger (1994),action crime drama thriller year1994,clearandpresentdanger
Ten Minutes Older: The Cello (2002),drama musical romance scifi year2002,tenminutesolderthecello
Cain's Cutthroats (1970),action comedy drama western year1970,cainscutthroats
Under the Hood (2009),action drama scifi thriller year2009,underthehood
"Dark Knight Rises, The (2012)",action adventure crime imax year2012,thedarkknightrises
An Inspector Calls (1954),crime drama mystery romance year1954,aninspectorcalls
"Road, The (2011)",crime drama horror thriller year2011,theroad
Super 8 (2011),mystery scifi thriller imax year2011,super8
Avatar (2009),action adventure scifi imax year2009,avatar
The Unraveling (2015),crime drama horror thriller year2015,theunraveling
Chained Heat (1983),action crime drama thriller year1983,chainedheat
The Last House on the Beach (1978),crime drama horror thriller year1978,thelasthouseonthebeach
The Speckled Band (1931),crime drama mystery romance year1931,thespeckledband
French Connection II (1975),action crime drama thriller year1975,frenchconnectionii
Blondes at Work (1938),crime drama mystery romance year1938,blondesatwork
Captain America: The Winter Soldier (2014),action adventure scifi imax year2014,captainamericathewintersoldier
The Possessed (2009),documentary horror thriller year2009,thepossessed
"Town Called Hell, A (1971)",action comedy drama western year1971,atowncalledhell
Lowlife (2017),action crime drama thriller year2017,lowlife
Black Hollow Cage (2017),drama horror scifi thriller year2017,blackhollowcage
The Longest Nite (1998),action crime drama thriller year1998,thelongestnite
"Shaft, The (a.k.a. Down) (2001)",action horror mystery scifi year2001,shafttheakadown
2012 (2009),action drama scifi thriller year2009,212
Walking Tall (1973),action crime drama thriller year1973,walkingtall
"Fast & Furious (Fast and the Furious 4, The) (2009)",action crime drama thriller year2009,fastfuriousfastandthefurious4the
Hangover Square (1945),crime drama horror thriller year1945,hangoversquare
Impostor (2002),action drama scifi thriller year2002,impostor
Storm over the Nile (1956),adventure drama romance war year1956,stormoverthenile
Tales That Witness Madness (1973),comedy horror mystery scifi year1973,talesthatwitnessmadness
Mr. Nobody (2009),drama fantasy romance scifi year2009,mrnobody
Dirty Lies (2016),action crime drama thriller year2016,dirtylies
Dossier K. (2009),action crime drama thriller year2009,dossierk
Killers (2014),action crime drama thriller year2014,killers
My Friend Dahmer (2017),crime drama horror thriller year2017,myfrienddahmer
"Sheba, Baby (1975)",action crime drama thriller year1975,shebababy
The Saint Strikes Back (1939),crime drama mystery romance year1939,thesaintstrikesback
Run All Night (2015),action crime drama thriller year2015,runallnight
Leprechaun 4: In Space (1997),comedy fantasy horror scifi year1997,leprechaun4inspace
Excision (2012),crime drama horror thriller year2012,excision
Gallowwalkers (2012),action horror scifi western year2012,gallowwalkers
Hostage (2005),action crime drama thriller year2005,hostage
The Golden Key (1939),adventure animation fantasy year1939,thegoldenkey
Wicked Stepmother (1989),comedy fantasy horror scifi year1989,wickedstepmother
Musicwood (2012),adventure documentary drama year2012,musicwood
Walter Vetrivel (1993),action children crime drama year1993,waltervetrivel
Hum Kisi Se Kum Nahin (2002),action comedy drama romance year2002,humkisisekumnahin
I Am Dina (2002),crime drama mystery romance year2002,iamdina
"Master Touch, The (Un uomo da rispettare) (1972)",action crime drama thriller year1972,mastertouchtheunuomodarispettare
The Death and Life of Bobby Z (2007),action crime drama thriller year2007,thedeathandlifeofbobbyz
Bhoothnath Returns (2014),comedy drama fantasy horror year2014,bhoothnathreturns
High Road to China (1983),adventure drama romance war year1983,highroadtochina
Ed Gein (2000),crime drama horror thriller year2000,edgein
Last Woman on Earth (1960),drama mystery romance scifi year1960,lastwomanonearth
Get Carter (1971),action crime drama thriller year1971,getcarter
Last Man Standing (1996),action crime drama thriller year1996,lastmanstanding
See No Evil (1971),crime drama horror thriller year1971,seenoevil
In Bruges (2008),comedy crime drama thriller year2008,inbruges
Star Trek: Nemesis (2002),action drama scifi thriller year2002,startreknemesis
Pusher II: With Blood on My Hands (2004),action crime drama thriller year2004,pusheriiwithbloodonmyhands
Man of the Year (2002),action comedy drama romance year2002,manoftheyear
"Rocky Horror Picture Show, The (1975)",comedy horror musical scifi year1975,therockyhorrorpictureshow
Party Monster (2003),comedy crime drama thriller year2003,partymonster
Wild Wild West (1999),action comedy scifi western year1999,wildwildwest
Freeway II: Confessions of a Trickbaby (1999),comedy crime drama thriller year1999,freewayiiconfessionsofatrickbaby
"Little Colonel, The (1935)",children comedy crime drama year1935,thelittlecolonel
"Last Run, The (1971)",action crime drama thriller year1971,thelastrun
"Monsters, Madmen & Machines: 25 Years of Science Fiction (1984)",adventure documentary scifi year1984,monstersmadmenmachines25yearsofsciencefiction
Lady Snowblood (Shurayukihime) (1973),action crime drama thriller year1973,ladysnowbloodshurayukihime
Death Wish (2018),action crime drama thriller year2018,deathwish
Juice (1992),action crime drama thriller year1992,juice
Devil Dogs of the Air (1935),action comedy drama romance year1935,devildogsoftheair
Cannibal (2006),crime drama horror thriller year2006,cannibal
"Force of One, A (1979)",action crime drama thriller year1979,aforceofone
The Investigator (2008),comedy crime drama thriller year2008,theinvestigator
iBoy (2017),action crime scifi thriller year2017,iboy
City on Fire (Lung fu fong wan) (1987),action crime drama thriller year1987,cityonfirelungfufongwan
Klepto (2003),comedy crime drama thriller year2003,klepto
Freedom Downtime (2001),adventure crime documentary year2001,freedomdowntime
Stiletto (2008),action crime drama thriller year2008,stiletto
Police Story 2013 (2013),action crime drama thriller year2013,policestory213
Me and the Kid (1993),children comedy crime drama year1993,meandthekid
Universal Soldier: Regeneration (2009),action drama scifi thriller year2009,universalsoldierregeneration
Saheb Biwi Aur Gangster Returns (2013),action crime drama thriller year2013,sahebbiwiaurgangsterreturns
The Great Alone (2015),adventure documentary drama year2015,thegreatalone
Spider-Man 2 (2004),action adventure scifi imax year2004,spiderman2
Dead West (2016),crime drama horror thriller year2016,deadwest
The Fate of the Furious (2017),action crime drama thriller year2017,thefateofthefurious
Motta Shiva Ketta Shiva (2017),action comedy drama romance year2017,mottashivakettashiva
Wizards (1977),animation fantasy scifi war year1977,wizards
Oblivion (2013),action adventure scifi imax year2013,oblivion
Landmine Goes Click (2015),action crime drama thriller year2015,landminegoesclick
Singh Is Kinng (2008),action comedy crime romance year2008,singhiskinng
"Corruptor, The (1999)",action crime drama thriller year1999,thecorruptor
Splinters (2009),documentary horror thriller year2009,splinters
March or Die (1977),adventure drama romance war year1977,marchordie
Star Trek (2009),action adventure scifi imax year2009,startrek
Point Blank (1967),action crime drama thriller year1967,pointblank
Breaking Point (2009),action crime drama thriller year2009,breakingpoint
Mother's Day (2010),crime drama horror thriller year2010,mothersday
"Violent Cop (Sono otoko, kyôbô ni tsuki) (1989)",action crime drama thriller year1989,violentcopsonootokokybnitsuki
Thriller: A Cruel Picture (Thriller - en grym film) (1974),action crime drama thriller year1974,thrilleracruelpicturethrillerengrymfilm
Shuttle (2008),crime drama horror thriller year2008,shuttle
Ditto (2000),drama fantasy romance scifi year2000,ditto
Passage to Mars (2016),adventure documentary scifi year2016,passagetomars
Max & Jeremie (1992),comedy crime drama thriller year1992,maxjeremie
2046 (2004),drama fantasy romance scifi year2004,246
Running Out of Time (Am zin) (1999),action crime drama thriller year1999,runningoutoftimeamzin
She-Wolf of London (1946),action drama horror mystery year1946,shewolfoflondon
Million Dollar Crocodile (2012),crime drama horror thriller year2012,milliondollarcrocodile
SIS (2008),action crime drama thriller year2008,sis
The Rebel (1980),action crime drama thriller year1980,therebel
Black Moon Rising (1986),action crime scifi thriller year1986,blackmoonrising
The Man Who Wasn't There (1983),action comedy fantasy scifi year1983,themanwhowasntthere
Body Count (1998),comedy crime drama thriller year1998,bodycount
Contraband (1980),action crime drama thriller year1980,contraband
